field	run1	run2
lockfile_digest	d5a83b4c1e3b5c6bd7ac3765f1f076f6798edfd14fdf20443efe431fa9e5e99e	d5a83b4c1e3b5c6bd7ac3765f1f076f6798edfd14fdf20443efe431fa9e5e99e
dependency_tree_digest	cfce7afa243ed6db739479ce35578f15135c7a76bd69bfaa81f36db1fdead77c	cfce7afa243ed6db739479ce35578f15135c7a76bd69bfaa81f36db1fdead77c
artifact_digest	8ccc7e67e7e8c5a05705dbe167a3b24d0c0078f66b665579455d0c444786b778	8ccc7e67e7e8c5a05705dbe167a3b24d0c0078f66b665579455d0c444786b778
lockfile_mutated	false	false
license_status	complete	complete
