scenario	status	paid_progress	provider_submit	denial	fact_digest
budget_unavailable	PASS	0	NOT_CALLED	DEPENDENCY_UNAVAILABLE:budget	e5bade5c9db18ee8b1e962fd486cdd76f9d495f5d550c990ad18f220b9d0e10b
object_store_unavailable	PASS	0	NOT_CALLED	DEPENDENCY_UNAVAILABLE:object_store	e5bade5c9db18ee8b1e962fd486cdd76f9d495f5d550c990ad18f220b9d0e10b
quality_gate_unavailable	PASS	0	NOT_CALLED	DEPENDENCY_UNAVAILABLE:quality_gate	e5bade5c9db18ee8b1e962fd486cdd76f9d495f5d550c990ad18f220b9d0e10b
orchestrator_unavailable	PASS	0	NOT_CALLED	DEPENDENCY_UNAVAILABLE:orchestrator	e5bade5c9db18ee8b1e962fd486cdd76f9d495f5d550c990ad18f220b9d0e10b
all_available	CONTROL_PASS	1	CALLED	-	e5bade5c9db18ee8b1e962fd486cdd76f9d495f5d550c990ad18f220b9d0e10b
